namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Caelia,Ryder,Kaida,Leopold,Hyperion,Phoenix,,,Frostfrost,Arctic Borealis,Emberreach,Sylara,Dustbowl,Aetheria,Terranova,Coralus,Wildsteppe,Euphoria Minor,Chillhaven,Sky Sentinel,Skyfire,Horizon Cruiser,Cosmic Horizon,,Galactic Generator,Asteroid Assembler,Void Vulture,Deep Space Pathfinder,Void Vulture,Kraken,Skirmisher,Challenger,,Nova Nomad,Gravity,,,,Phoenix Claw,,,,Extraterrestrial Observer,Extraterrestrial Observer,Cosmic Horizon,Eclipse,Armageddon's Wake,Apocalypse,,
,,,,,,,,,,,,,,,,,,,,,,Calypso,Hawk,Lysandra,Octavian,Zephyrion,Aurora,,,Snowdriftia,Frostlandia,Sunscorch,Xenor,Nomad's Rest,Solaria,Elysium,Nereus,Antelopeia,Zanzibar Delta,Frostdale,Infinity Ignition,Infinity Knight,Viper's Den,Celestial Crusader,,Star System Sculptor,Starship Smith,Cosmic Crusader,Orion's Belt,Cosmic Crusader,Anubis,Sentry,Intrepid,,Velocity Viper,Void,,,,Starling,,,,Universe Investigator,Universe Investigator,Celestial Crusader,Eclipse II,Serenity's Vengeance,Thunderbolt,,
,,,,,,,,,,,,,,,,,,,,,,Celestia,Axel,Morgana,Ragnar,Chronos,Cosmos,,,Crystal Peaks,Blizzard,Dusthaven,Farenth,Oasis Prime,Gaialand,Halcyon,Atlantis,Hyenasia,Havana Minoris,Icyreign,Aurora Assault,Aurora Titan,Nebula Runner,Hypernova Voyager,,Cosmic Carpenter,Terraformer Transport,Meteorite Maverick,Andromeda Explorer,Meteorite Maverick,Goliath,Ranger,Galileo,,Warp Watchman,Cosmos,,,,Corsair,,,,Celestial Navigator,Celestial Navigator,Hypernova Voyager,Eclipse III,Helios' Wrath,Omega,,
,,,,,,,,,,,,,,,,,,,,,,Chara,Dante,Nymeria,Celestino,Andromeda,Hyperion,,,Frosthold,Snowblind,Barrenas,Caelum,Sirocco,Paradiso,Stardust,Seabright,Lionheart Land,Kauai Beta,Windwhip,Orion's Fury,Orion's Wrath,Comet Cruiser,Infinite Explorer,,Planet Patcher,Planetary Producer,Space Sprinter,Dark Matter,Space Sprinter,Devastator,Enforcer,Sojourner,,Planetary Pathfinder,Meteor,,,,Goshawk,,,,Astrobiology Researcher,Astrobiology Researcher,Infinite Explorer,Eclipse IV,Solaris' Dominion,Intrepid,,
,,,,,,,,,,,,,,,,,,,,,,Chroma,Nash,Oriana,Tiberius,Polaris,Sirius,,,Summit City,Glaciem,Flarelands,Arvandor,Miragehaven,Neotopia,Solaris,Oceanica,Bucolicus,Borneo Gamma,Tundrabeam,Andromeda Armada,Andromeda Annihilator,Solar Sentinel,Aurora Venture,,Universe Upgrader,Celestial Crafter,Astral Ace,Sirius Sentinel,Astral Ace,Serpent's Fang,Vanguard,Phoenix,,Nova Navigator,Infinity,,,,Pterodactyl,,,,Dark Matter Detector,Dark Matter Detector,Aurora Venture,Eclipse V,Hyperion's Reign,Valiant,,
,,,,,,,,,,,,,,,,,,,,,,Darya,Darian,Phoenixa,Hadrian,Aquarius,Lyra,,,Aurora Ridge,Chion,Aridalia,Thalassar,Sunscorch,New Terra,Cosmosis,Seablaze,Gnuhaven,Galapagos Theta,Glacierfall,Quantum Quell,Quantum Quasar,Eclipse Carrier,Quantum Odyssey,,Astromechanic,Orbital Organizer,Interstellar Interceptor,Helios,Interstellar Interceptor,Behemoth,Fortitude,Curiosity,,Moon Man,Aurora,,,,Griffin,,,,Stellar Evolution Observer,Stellar Evolution Observer,Quantum Odyssey,Eclipse VI,The Colossus of Rhodes,Sovereign,,
,,,,,,,,,,,,,,,,,,,,,,Delara,Galen,Quinella,Solarus,Phoenixia,Aquila,,,Icefall,Aurora Borealis,Drythos,Azurin,Drylands,Utopia Prime,Galaxia,Mariana,Zebrahaven,Madagascar Prime,Snowhaven,Dark Matter Dominion,Dark Matter Defender,Stormchaser,Dark Matter Explorer,,Sky Scavenger,Cosmic Constructor,Eclipse Enforcer,Galactic Sentinel,Eclipse Enforcer,Thor,Battleguard,Rosetta,,Nova Nomad,Eclipse,,,,Dragonfly,,,,Gravity Mapper,Gravity Mapper,Dark Matter Explorer,Eclipse VII,The Great Wall of China,Sentinel,,
,,,,,,,,,,,,,,,,,,,,,,Drusilla,Garrick,Ravenna,Caelius,Lyrae,Draco,,,Whitecrest,Icebergia,Scorchia,Arduin,Cactus Canyon,Nirvana,Nebulon,Abyssia,Giraffic Park,Fiji Epsilon,Frostkeep,Stellar Strike,Deep Space Dreadnought,Starhunter,Deep Space Pioneer,,Space Station Smithy,Star System Sculptor,Warp Wing,Nova Guardian,Warp Wing,Annihilator,Interceptor,Orion,,Rocket Raider,Hyperion,,,,Scorpion,,,,Exoplanet Explorer,Exoplanet Explorer,Deep Space Pioneer,Eclipse VIII,The Pyramids of Giza,Eclipse,,
,,,,,,,,,,,,,,,,,,,,,,Elara,Kairos,Seraphina,Emeric,Cassiopeia,Cassiopeia,,,Alpine Vale,Icescape,Burnhaven,Calandria,Sandblaze,Elysium,Astraeus,Oceana,Baobab Bay,Samoa Majoris,Frostlance,Starlight Siege,Nova Nexus,Skyhammer,Eclipse Voyager,,Nebula Nurturer,Planet Patcher,Rocket Rascal,Supernova,Rocket Rascal,Juggernaut,Strikeforce,Juno,,Rocket Rascal,Quantum,,,,Wasp,,,,Cosmic Ray Analyzer,Cosmic Ray Analyzer,Eclipse Voyager,Eclipse IX,The Taj Mahal,Chimera,,
,,,,,,,,,,,,,,,,,,,,,,Elenia,Aric,Thalia,Ignatius,Vega,Serpens,,,Snowmeltia,Snowflake,Aridus Prime,Solterra,Aridmoon,Alpha Centauri,Celestia,Azurencia,Elephant Plains,Tahiti Omega,Frostnova,Nebula Navigator,Stellar Storm,Titan's Reach,Omega Odyssey,,Starship Smith,Nebula Nurturer,Nova Navigator,Warp Speeder,Nova Navigator,Armageddon,Combatant,Aquarius,,Galaxy Guide,Orion,,,,Hornet,,,,Interstellar Cartographer,Interstellar Cartographer,Omega Odyssey,Eclipse X,The Eiffel Tower,Seraphim,,
,,,,,,,,,,,,,,,,,,,,,,Elvira,Tarek,,,,Perseus,,,,,,,,,,,,,,Solar Stormbringer,Starfire,Warp Wing,,,,,Planetary Pursuer,Cosmic Phoenix,Planetary Pursuer,Ragnarok,,,,Void Vulture,Phoenix,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ember,Trax,,,,Pegasus,,,,,,,,,,,,,,Galactic Guardian,Thunderbolt,Skygazer,,,,,Asteroid Avenger,Black Hole,Asteroid Avenger,Leviathan,,,,Lunar Luminary,Vega,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Emira,Blaise,,,,Capella,,,,,,,,,,,,,,Hypernova Hailstorm,Void Hunter,Solar Wind,,,,,Galaxy Guardian,Lunar Eclipse,Galaxy Guardian,Hellfire,,,,Meteorite Maverick,Atlantis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Endora,Silas,,,,Betelgeuse,,,,,,,,,,,,,,Celestial Crusader,Shadow Crusader,Infinity Cruiser,,,,,Supernova Scout,Solar Eclipse,Supernova Scout,Valkyrie,,,,Cosmic,Odyssey,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Enya,Raze,,,,Altair,,,,,,,,,,,,,,Sky Scourge,Cosmic Fury,Starblaze,,,,,Cosmic,Gravity,Cosmic,Zeus,,,,Asteroid Attacker,Discovery,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Eris,Kyros,,,,Antares,,,,,,,,,,,,,,Infinity Incendiary,Nebula Sentinel,Phantom Carrier,,,,,Star Striker,Quantum,Star Striker,Doombringer,,,,Planetary Pioneer,Venture,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Estrella,Xander,,,,Bellatrix,,,,,,,,,,,,,,Aurora Avenger,Eclipse Warrior,Thunderclap,,,,,Shadow Shifter,Warp Rider,Shadow Shifter,Retribution,,,,Shadow Shifter,Stratosphere,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fae,Xavion,,,,Deneb,,,,,,,,,,,,,,Orion's Obliteration,Solar Storm,Skybolt,,,,,Comet Courier,Hypernova,Comet Courier,Thunderbolt,,,,Cosmic Crusader,Thunderbird,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Farrah,Atlas,,,,Rigel,,,,,,,,,,,,,,Andromeda Arsenal,Galactic Guardian,Solarflare,,,,,Solar Stalker,Velocity,Solar Stalker,Odin,,,,Galaxy Glider,Firefly,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fiora,Orion,,,,Regulus,,,,,,,,,,,,,,Quantum Quasar,Black Hole Dominator,Galaxy Hunter,,,,,Moon Marauder,Meteorite,Moon Marauder,Fury,,,,Warp Wraith,Supernova,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Freya,Lazarus,,,,Procyon,,,,,,,,,,,,,,Dark Matter Destructor,Celestial Crusader,Starquest,,,,,Warp Warden,Asteroid Hunter,Warp Warden,Oblivion,,,,Nova Nomad,Infinity One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gaia,Neron,,,,Pollux,,,,,,,,,,,,,,Stellar Salvo,Hypernova Hunter,Skyfortress,,,,,Stellar Swift,Comet,Stellar Swift,Colossus,,,,Space Scout,Polaris,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Galaxia,Ronan,,,,Aldebaran,,,,,,,,,,,,,,Starburst,Infinity Defender,Eclipse Carrier,,,,,Nebula Navigator,Deep Space Voyager,Nebula Navigator,Cyclops,,,,Stellar Sprinter,Andromeda,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Giselle,Kieran,,,,Spica,,,,,,,,,,,,,,Cosmic Catalyst,Aurora Blade,Void Cruiser,,,,,Velocity Vanguard,Interstellar Sentinel,Velocity Vanguard,,,,,Rocket Racer,Infinity Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Halia,Cain,,,,Arcturus,,,,,,,,,,,,,,Interstellar Inferno,Nova Knight,Skyshark,,,,,Lunar Lancer,Starry Night,Lunar Lancer,,,,,Warp Wing,Horizon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Havanna,Thorne,,,,Zubenelgenubi,,,,,,,,,,,,,,Void Vanguard,Orion Raider,Starshade,,,,,Galaxy Glider,Midnight,Galaxy Glider,,,,,Comet,Thunderbolt,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Helia,Eron,,,,Algol,,,,,,,,,,,,,,Nebula Nighthawk,Andromeda Titan,Solarwave,,,,,Void Voyager,Cosmic Journey,Void Voyager,,,,,Moon Marauder,Mercury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Idalia,Kaelen,,,,Castor,,,,,,,,,,,,,,Solar Scythe,Stellar Avenger,Nova Carrier,,,,,Cosmic Cheetah,Infinity,Cosmic Cheetah,,,,,Lunar Legionnaire,Solar Flare,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Iliana,Malakai,,,,Mira,,,,,,,,,,,,,,Black Hole Blitz,Quantum Blade,Skyhawk,,,,,Meteorite Mover,Nebula Guardian,Meteorite Mover,,,,,Cosmic,Infinity Three,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Imogen,Kian,,,,Alnitak,,,,,,,,,,,,,,Galactic Goliath,Dark Matter Destroyer,Starwing,,,,,Space Swashbuckler,Starship Trooper,Space Swashbuckler,,,,,Space Sprinter,Warp,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Inara,Joren,,,,Alnilam,,,,,,,,,,,,,,,,Thunderbird,,,,,Astral Adventurer,Galaxy Explorer,Astral Adventurer,,,,,Supernova Seeker,Galactica,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Indira,Zander,,,,Mintaka,,,,,,,,,,,,,,,,Galaxy Guardian,,,,,Interstellar Intruder,Solar Wind,Interstellar Intruder,,,,,Void Voyager,Infinity Four,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isadora,Jarek,,,,Algol,,,,,,,,,,,,,,,,Shadow Cruiser,,,,,Eclipse Explorer,Cosmic Thunder,Eclipse Explorer,,,,,Starfire,Asteroid,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isla,Torin,,,,Alcyone,,,,,,,,,,,,,,,,Skykeeper,,,,,Warp Watchman,Solar Guardian,Warp Watchman,,,,,Supernova Scout,Comet Cruiser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isra,Theron,,,,Merope,,,,,,,,,,,,,,,,Solaris Carrier,,,,,Rocket Runner,Hyperdrive,Rocket Runner,,,,,Star Slider,Zenith,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ivana,Calder,,,,Maia,,,,,,,,,,,,,,,,Starbridge,,,,,Nova Nomad,Starlight Explorer,Nova Nomad,,,,,Solar Sleuth,Zenon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jadzia,Graydon,,,,Taygeta,,,,,,,,,,,,,,,,Skygalleon,,,,,Planetary Pioneer,Cosmic Wave,Planetary Pioneer,,,,,Interstellar Intruder,Infinity Five,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jael,Oberon,,,,Atlas,,,,,,,,,,,,,,,,Titan Cruiser,,,,,Asteroid Attacker,Voyager X,Asteroid Attacker,,,,,Shadowstreak,Altair,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jolene,Soren,,,,Pleione,,,,,,,,,,,,,,,,Starcruiser,,,,,Galaxy Guide,Starstorm,Galaxy Guide,,,,,Asteroid Ambusher,Lunar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Juniper,Zephyr,,,,Electra,,,,,,,,,,,,,,,,Warp Carrier,,,,,Supernova Seeker,Blackout,Supernova Seeker,,,,,Shadow Seeker,Starlight,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kaida,Sylar,,,,Calypso,,,,,,,,,,,,,,,,,,,,,Cosmic,Lunar Explorer,Cosmic,,,,,Supernova Seeker,Andromeda One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kalina,Ronin,,,,Pandora,,,,,,,,,,,,,,,,,,,,,Star Slider,Mercury,Star Slider,,,,,Velocity Vanguard,Andromeda Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kaliyah,Nikolai,,,,Hyperion,,,,,,,,,,,,,,,,,,,,,Shadow Seeker,Venus Sentinel,Shadow Seeker,,,,,Comet,Atlas,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kamala,Daxton,,,,Saturna,,,,,,,,,,,,,,,,,,,,,Comet Chaser,Terra,Comet Chaser,,,,,Space Swashbuckler,Aurora One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kara,Lysander,,,,Galatea,,,,,,,,,,,,,,,,,,,,,Solar Sleuth,Mars Explorer,Solar Sleuth,,,,,Astral Ace,Aurora Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Karina,Hendrix,,,,Larissa,,,,,,,,,,,,,,,,,,,,,Moon Mercenary,Jupiter,Moon Mercenary,,,,,Velocity Vigilante,Avenger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Katarina,Paxton,,,,Triton,,,,,,,,,,,,,,,,,,,,,Warp Warrior,Saturn Sentinel,Warp Warrior,,,,,Solar Stalker,Black Knight,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Katara,Breckin,,,,Naiad,,,,,,,,,,,,,,,,,,,,,Stellar Sprinter,Uranus,Stellar Sprinter,,,,,Warp Warrior,Blue Nova,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Katrielle,Danté,,,,Thalassa,,,,,,,,,,,,,,,,,,,,,Nebula Nomad,Neptune Explorer,Nebula Nomad,,,,,Solar Slicer,Capricorn,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Keira,Adriel,,,,Despina,,,,,,,,,,,,,,,,,,,,,Velocity Vagabond,Pluto Sentinel,Velocity Vagabond,,,,,Moonshot,Cardinal,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kestrel,Draven,,,,Ceres,,,,,,,,,,,,,,,,,,,,,Lunar Luminary,Phoenix,Lunar Luminary,,,,,Comet Courier,Celestia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiana,Ajax,,,,Eris,,,,,,,,,,,,,,,,,,,,,Galaxy Guide,Andromeda Guardian,Galaxy Guide,,,,,Star Surfer,Comet Chaser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiara,Lyron,,,,Haumea,,,,,,,,,,,,,,,,,,,,,Void Visitor,Orion's Shield,Void Visitor,,,,,Interstellar Invader,Cosmic,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kiran,Tiberius,,,,Makemake,,,,,,,,,,,,,,,,,,,,,Cosmic Clipper,Starry Sky,Cosmic Clipper,,,,,Lunar Light,Cosmo Cruiser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lacey,Titan,,,,Sedna,,,,,,,,,,,,,,,,,,,,,Meteorite Miner,Cosmic Comet,Meteorite Miner,,,,,Moon Mercenary,Dark Star,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Laila,Calix,,,,Orcus,,,,,,,,,,,,,,,,,,,,,Space Scout,Alpha,Space Scout,,,,,Asteroid Avenger,Delta,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lark,Jaxon,,,,Quaoar,,,,,,,,,,,,,,,,,,,,,Astral Adventurer,Beta Sentinel,Astral Adventurer,,,,,Cosmic Clipper,Dragonfly,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lavinia,Salem,,,,Varuna,,,,,,,,,,,,,,,,,,,,,Interstellar Invader,Gamma Explorer,Interstellar Invader,,,,,Cosmic Cheetah,Eclipse One,,,,,,,,,,,,,,,
